Price,Location,Area,Amenities,BHK
₹2.30 Cr,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",1230sqft,,4 BHK
₹17.50 Cr,"Khar West, Khar West, Mumbai - Western Mumbai, Maharashtra",2500sqft,,5 BHK
₹4.0 Cr,"Mahalakshmi, Mumbai - South Mumbai, Maharashtra",1100sqft,,3 BHK
₹7.0 Cr,"kanchpada, malad west, Malad West, Mumbai - Western Mumbai, Maharashtra",1648sqft,,4 BHK
₹2.75 Cr,"Dandapada, 21st Road, near Hotel Samudra, Khar West, Mumbai-400052., Khar West, Mumbai - Western Mumbai, Maharashtra",700sqft,,2 BHK
₹3.50 Cr,"Soonawala Agiary Lane off LJ Road, Mahim West, Mumbai - South Mumbai, Maharashtra",1105sqft,,2 BHK
₹90.0 Lac,"Malad East, Malad East, Mumbai - Western Mumbai, Maharashtra",570sqft,,2 BHK
₹3.25 Cr,"Byculla, Mumbai, Byculla West, Mumbai, Maharashtra",856sqft,,2 BHK
₹1.50 Cr,"601/Crystal Isle I, Royal Palms Estate, Mumbai - North Mumbai, Maharashtra",1342sqft,,3 BHK
₹2.10 Cr,"Malad West, Mumbai - Western Mumbai, Maharashtra",750sqft,,2 BHK
₹20.0 Cr,"Powai, Mumbai, Central Area, Mumbai - Central Line, Maharashtra",3700sqft,,5 BHK
₹5.80 Cr,The building has won award for Best Waste Management across all Mumbai,1205sqft,,5 BHK
₹1.05 Cr,"A202, arun apartment, mhatrewadi., Dahisar West, Mumbai - Western Mumbai, Maharashtra",510sqft,,1 BHK
₹55.0 Cr,"Bkc Bandra East Mumbai, Bandra Kurla Complex, Mumbai - Western Mumbai, Maharashtra",7686sqft,,5 BHK
₹2.50 Cr,"Chembur, Mumbai - Harbour Line, Maharashtra",850sqft,,2 BHK
₹4.60 Cr,"Borivali East, Mumbai, Borivali East, Mumbai - Western Mumbai, Maharashtra",1789sqft,,4 BHK
₹20.0 Cr,"Island City Center Two, G D Ambekar Rd, Dadar East, Mumbai,",4500sqft,,7 BHK
Call for Price,"Ville Parle, opp Jain derasar Haveli, Vile Parle East, Mumbai - Western Mumbai, Maharashtra",2920sqft,,4 BHK
₹85.0 Lac,"Powai, Mumbai, Central Area, Mumbai - Central Line, Maharashtra",350sqft,,1 BHK
₹2.78 Cr,"Kandivali East, Mumbai - Western Mumbai, Maharashtra",1121sqft,,3 BHK
₹2.73 Cr,"Kandivali, Mumbai - Western Mumbai, Maharashtra",942sqft,,3 BHK
₹1.45 Cr,"Borivali East, Mumbai, Magathane, Mumbai - North Mumbai, Maharashtra",639sqft,,2 BHK
₹29.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",3776sqft,,6 BHK
₹7.50 Cr,"Matunga East, Mumbai - South Mumbai, Maharashtra",1660sqft,,4 BHK
₹1.22 Cr,"Nehru nagar kurla east., Nehru Nagar-Kurla, Mumbai - Harbour Line, Maharashtra",614sqft,,2 BHK
₹2.50 Cr,"Yari Road, Versova, Andheri West, Mumbai, Versova Marg, Mumbai - Western Mumbai, Maharashtra",850sqft,,2 BHK
₹50.0 Lac,"yuvaraj bldg 204 gate no 3, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",425sqft,,1 BHK
₹42.0 Lac,"Naigaon East, Naigaon East, Mumbai - Mira Road and Beyond, Maharashtra",600sqft,,1 BHK
₹3.20 Cr,"a/303;kaatyayni RESIDENCY;off MAHAKALI CAVES;andheri east mumbai, Andheri East, Mumbai - Western Mumbai, Maharashtra",1050sqft,,3 BHK
₹2.50 Cr,"Bhandup West, Mumbai, Bhandup West, Mumbai - Central Mumbai, Maharashtra",1173sqft,,3 BHK
₹23.0 Cr,"Juhu Versova Link Road, Juhu, Mumbai - Western Mumbai, Maharashtra",3700sqft,,4 BHK
₹72.0 Lac,"Chembur West, Mumbai, Chembur West, Mumbai, Maharashtra",400sqft,,1 BHK
₹10.25 Cr,"Upper Govind Nagar, Upper Govind Nagar, Mumbai - North Mumbai, Maharashtra",3312sqft,,5 BHK
₹18.0 Cr,"Jivraj Ramji Boricha Rd, Shastri Nagar, Adarsh Nagar, Lower Parel, Mumbai, Mahalakshmi, Mumbai - South Mumbai, Maharashtra",2600sqft,,6 BHK
₹29.99 Cr,Located in prime residential and retail area of Mumbai,3800sqft,,6 BHK
₹20.0 Cr,"Prabhadevi, Mumbai, Prabhadevi, Mumbai - South Mumbai, Maharashtra",3045sqft,,5 BHK
₹5.75 Cr,"Jaldarshan Bldg, Shri GB Jukar Marg, Juhu, Mumbai - Western Mumbai, Maharashtra",1118sqft,,3 BHK
₹9.50 Cr,"902., Babulnath, Mumbai - South Mumbai, Maharashtra",1117sqft,,3 BHK
₹1.70 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",572sqft,,2 BHK
₹9.50 Cr,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Mumbai, Maharashtra",2076sqft,,4 BHK
₹5.50 Cr,"Chembur, Mumbai, Chembur, Mumbai - Harbour Line, Maharashtra",1880sqft,,4 BHK
₹2.40 Cr,"Santacruz East, Mumbai, Santacruz East, Mumbai - Western Mumbai, Maharashtra",690sqft,,2 BHK
₹2.90 Cr,"Bandra West, Mumbai - Western Mumbai, Maharashtra",750sqft,,1 BHK
₹1.20 Cr,"Satra One Road Number 2, New, opp. Guru Nanak Park, Shastri Nagar, Goregaon West, Mumbai, Maharashtra 400104",445sqft,,1 BHK
₹5.50 Cr,"Dadar East, Mumbai, Dadar East, Mumbai - South Mumbai, Maharashtra",1100sqft,,3 BHK
₹80.0 Lac,"Dahisar East, Ashok Van Mumbai, Dahisar East, Mumbai - Western Mumbai, Maharashtra",422sqft,,1 BHK
₹3.60 Cr,"Mumbai, Maharashtra",801sqft,,3 BHK
₹2.50 Cr,"Mulund West, Mumbai - Central Mumbai, Maharashtra",1040sqft,,2 BHK
₹1.30 Cr,"Kandivali West, Mumbai, Charkop Gaon, Mumbai - North Mumbai, Maharashtra",590sqft,,2 BHK
₹1.75 Cr,"6., Chandivali, Mumbai - Central Mumbai, Maharashtra",700sqft,,2 BHK
₹75.0 Lac,"Kandivali West, Mumbai, Bander Pakhadi, Mumbai - North Mumbai, Maharashtra",330sqft,,1 BHK
₹2.60 Cr,"Andheri East, Mumbai, Marol, Mumbai - Western Mumbai, Maharashtra",854sqft,,2 BHK
₹9.75 Cr,"off Link Road Andheri West, Andheri West, Mumbai - Western Mumbai, Maharashtra",2600sqft,,6 BHK
₹6.25 Cr,"Sane Guruji Marg Mahalaxmi, Jacob Circle, Mumbai, Maharashtra 400011,",1138sqft,,3 BHK
₹8.47 Cr,"Bandra East, Bandra East, Mumbai - Western Mumbai, Maharashtra",1657sqft,,4 BHK
₹74.2 Lac,"Bolinj, Virar West., Bolinj, Mumbai - Mira Road and Beyond, Maharashtra",710sqft,,2 BHK
₹4.99 Cr,"yogi hills mulund west, Mulund West, Mumbai - Central Mumbai, Maharashtra",2100sqft,,4 BHK
₹3.30 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",1301sqft,,4 BHK
₹30.0 Cr,"Cuffe Parade, Mumbai, Colaba, Mumbai - South Mumbai, Maharashtra",3394sqft,,5 BHK
₹8.10 Cr,"Off, Western Express Hwy, Khande Rao Dongari, Borivali, Mumbai, Maharashtra 400066, Borivali East, Mumbai - Western Mumbai, Maharashtra",2068sqft,,6 BHK
₹2.70 Cr,"Aparna Vaibhav Housing Society Pawaskar Wadi Dadar West Mumbai Maharashtra 400028, Dadar West, Mumbai - South Mumbai, Maharashtra",750sqft,,2 BHK
₹2.40 Cr,"Labdhi Sea Breeze, intersection of Sion Chembur Road and, RJ Gaikwad Rd, Wadala East, Wadala, Mumbai, Wadala East, Mumbai - South Mumbai, Maharashtra",848sqft,,3 BHK
₹4.60 Cr,"Santacruz East, Mumbai, Vidya Nagari, Mumbai - Western Mumbai, Maharashtra",1300sqft,,4 BHK
₹1.33 Cr,"Safal Sai - 500 meter from Diamond Garden, Chembur, Chembur, Mumbai - Harbour Line, Maharashtra",580sqft,,1 BHK
₹65.0 Lac,"Near GCC Club, Mira Road East, Mumbai, Maharashtra",480sqft,,1 BHK
₹1.35 Cr,"Nandan Gusain, Vision Heights, Vasant Nagri, Vasai East, Mumbai - Mira Road and Beyond, Maharashtra",976sqft,,3 BHK
₹5.0 Cr,"Lok Everest Dharamveer Nagar Mulund West Mumbai Maharashtra 400080, Mulund West, Mumbai - Central Mumbai, Maharashtra",1600sqft,,4 BHK
₹57.0 Lac,"Mira Road East, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",407sqft,,1 BHK
₹2.90 Cr,"Grace E, Mulund West, Mumbai - Central Mumbai, Maharashtra",970sqft,,3 BHK
₹1.20 Cr,"Kandivali East, Mumbai, Thakur Complex, Mumbai - North Mumbai, Maharashtra",430sqft,,1 BHK
₹1.50 Cr,"Mumbai, Maharashtra",3200sqft,,4 BHK
₹12.90 Cr,"Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",2460sqft,,6 BHK
₹1.45 Cr,"Shastri Nagar, Goregaon West, Mumbai - Western Mumbai, Maharashtra",650sqft,,2 BHK
₹1.10 Cr,"Powai, Mumbai, Powai lake, Mumbai - Central Line, Maharashtra",458sqft,,1 BHK
₹89.0 Lac,"Kandivali East, Mumbai, Akurli Nagar, Mumbai - North Mumbai, Maharashtra",500sqft,,2 BHK
₹1.80 Cr,"2bhk in blue meadows j v link road andheri east., Andheri East, Mumbai - Western Mumbai, Maharashtra",670sqft,,2 BHK
₹1.85 Cr,"Kanjurmarg West, Mumbai, Kanjurmarg West, Mumbai - Central Line, Maharashtra",739sqft,,2 BHK
₹7.50 Cr,"Mumbai, Maharashtra",3340sqft,,4 BHK
₹5.20 Cr,"Vile Parle East, Mumbai - Western Mumbai, Maharashtra",1379sqft,,4 BHK
₹86.0 Lac,"near kelkar college, mulund east, Mulund, Mumbai - Central Mumbai, Maharashtra",481sqft,,1 BHK
₹2.10 Cr,"Military Road, Andheri East, Mumbai - Western Mumbai, Maharashtra",742sqft,,2 BHK
₹2.0 Cr,"Bhandup West, Mumbai, Bhandup West, Mumbai - Central Mumbai, Maharashtra",890sqft,,3 BHK
₹98.0 Lac,"Vasai West, Mumbai - Mira Road and Beyond, Maharashtra",1300sqft,,3 BHK
₹5.25 Cr,"Andheri West, Mumbai - Western Mumbai, Maharashtra",1485sqft,,3 BHK
₹1.65 Cr,"Sector 8, Charkop, Kandivali West, Mumbai 400067, Kandivali West, Mumbai - Western Mumbai, Maharashtra",800sqft,,2 BHK
₹7.0 Cr,"Prabhadevi, Mumbai - South Mumbai, Maharashtra",1600sqft,,4 BHK
₹5.0 Cr,"Mulund, Mulund West, Mumbai, Maharashtra, India., Mulund West, Mumbai - Central Mumbai, Maharashtra",1678sqft,,4 BHK
₹1.35 Cr,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1566sqft,,3 BHK
₹5.50 Cr,"kalidas road, Mulund West, Mumbai - Central Mumbai, Maharashtra",1900sqft,,6 BHK
₹3.37 Cr,"Mulund Goregaon Link Road, Mulund West, Mumbai - Central Mumbai, Maharashtra",1054sqft,,3 BHK
₹1.80 Cr,"Kalina, Mumbai - Western Mumbai, Maharashtra",700sqft,,3 BHK
₹7.0 Cr,"Marine Drive, Mumbai - South Mumbai, Maharashtra",1500sqft,,3 BHK
₹4.75 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",1700sqft,,4 BHK
₹1.95 Cr,"Raheja Residency, General Arun Kumar Vaidya Marg, Malad east - Mumbai - 400097, Malad East, Mumbai - Western Mumbai, Maharashtra",730sqft,,2 BHK
₹3.0 Cr,"Tilak Nagar west, Chembur, Mumbai - Harbour Line, Maharashtra",1000sqft,,3 BHK
₹92.0 Lac,"Mira Road East, Mumbai, Maharashtra",684sqft,,2 BHK
₹90.0 Lac,"nearly ghatkopar and metro station near by ghatkopar bus depo laxminagar, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",545sqft,,1 BHK
₹90.0 Lac,"Near Goregaon Metro Station, Goregaon West, Mumbai - Western Mumbai, Maharashtra",381sqft,,1 BHK
₹1.79 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",640sqft,,2 BHK
₹4.0 Cr,"Kandivali East, Mumbai, Kandivali East, Mumbai - Western Mumbai, Maharashtra",1146sqft,,4 BHK
₹2.80 Cr,"khernagar, Bandra East, Mumbai - Western Mumbai, Maharashtra",884sqft,,2 BHK
₹81.0 Lac,"bindra complex mahakali caves road Andheri East, Andheri East, Mumbai - Western Mumbai, Maharashtra",310sqft,,1 BHK
₹3.15 Cr,"304 Jewellers Apartment, Pedder Road, Mumbai - South Mumbai, Maharashtra",540sqft,,1 BHK
₹98.0 Lac,"Sector 3 Charkop, Mumbai - North Mumbai, Maharashtra",510sqft,,2 BHK
₹8.50 Cr,"Andheri West, Mumbai, Lokhandwala Complex, Mumbai - Western Mumbai, Maharashtra",1900sqft,,5 BHK
₹6.50 Cr,"Dadar West, Mumbai - South Mumbai, Maharashtra",1168sqft,,3 BHK
₹11.95 Cr,"Pandurang Budhkar Marg Next to Shree Simandhar Swami Jain Temple, Worli, Mumbai, Maharashtra 400018, Worli, Mumbai - South Mumbai, Maharashtra",2520sqft,,5 BHK
₹2.90 Cr,"Almeida park, Bandra West, Mumbai - Western Mumbai, Maharashtra",700sqft,,2 BHK
₹3.85 Cr,"Borivali East, Mumbai, Datta Pada, Mumbai - North Mumbai, Maharashtra",1073sqft,,3 BHK
₹12.75 Cr,"Worli, Mumbai - South Mumbai, Maharashtra",2394sqft,,6 BHK
₹8.0 Cr,"Sabari Gayathri CHS Ltd Near Chembur Gymkhana Chembur East Mumbai, Chembur East, Mumbai, Maharashtra",2500sqft,,4 BHK
₹2.10 Cr,"Yogi Nagar, Borivali West, Mumbai, Maharashtra, India., Yogi Nagar, Mumbai - North Mumbai, Maharashtra",780sqft,,3 BHK
₹16.0 Cr,"opposite Sidhivinayak temple, Prabhadevi, Mumbai - South Mumbai, Maharashtra",2100sqft,,4 BHK
₹3.80 Cr,"Malad East, Mumbai, Malad East, Mumbai - Western Mumbai, Maharashtra",1514sqft,,4 BHK
₹2.25 Cr,"Malad East, Mumbai - Western Mumbai, Maharashtra",787sqft,,2 BHK
₹1.72 Cr,"Near Elly kadoori School, Mazgaon, Mumbai - South Mumbai, Maharashtra",500sqft,,1 BHK
₹5.21 Cr,"Wadala East, Mumbai, Bhakti Park, Mumbai - Harbour Line, Maharashtra",1577sqft,,4 BHK
₹2.06 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",904sqft,,3 BHK
₹1.90 Cr,"Subhash nagar, Motilal nagar no 3, Off M.G. road, Goregaon-west, Mumbai-400 104, Subhash Nagar - Goregaon East, Mumbai - North Mumbai, Maharashtra",783sqft,,2 BHK
₹2.75 Cr,"Mahavir Ville, Matunga West, Mumbai - South Mumbai, Maharashtra",525sqft,,2 BHK
₹64.0 Cr,Prime Residential Area of Mumbai with all eco system in vicinity,6000sqft,,6 BHK
₹59.0 Lac,"Near Hermitage Complex, Mahajan Wadi, Mira Road, Mira Bhayandar, Maharashtra, Mahajan Wadi, Mumbai - Mira Road and Beyond, Maharashtra",424sqft,,1 BHK
₹43.3 Lac,"Naigaon, Naigaon East, Mumbai - Mira Road and Beyond, Maharashtra",407sqft,,1 BHK
₹1.67 Cr,"Radiant 59 marol andheri east, Marol, Mumbai - Western Mumbai, Maharashtra",668sqft,,2 BHK
₹4.95 Cr,"Lokhandwala Complex, Mumbai - Western Mumbai, Maharashtra",1540sqft,,3 BHK
₹2.41 Cr,"Vidyavihar East, Ghatkopar East, Mumbai, Maharashtra, India., Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",885sqft,,4 BHK
₹88.0 Lac,"Shraddha Evoque lake Road next to Mayuresh Park Bhandup West, Bhandup West, Mumbai - Central Mumbai, Maharashtra",535sqft,,2 BHK
₹13.50 Cr,"Kamala mill, Lower Parel, Mumbai - South Mumbai, Maharashtra",2600sqft,,5 BHK
₹3.10 Cr,"Andheri East, Mumbai, Andheri East, Mumbai - Western Mumbai, Maharashtra",965sqft,,2 BHK
₹1.27 Cr,"Mira Road East, Mumbai, Mira Road East, Mumbai, Maharashtra",660sqft,,2 BHK
₹2.30 Cr,"NeptuneCHS, Kandivali East, Mumbai - Western Mumbai, Maharashtra",815sqft,,3 BHK
₹18.0 Cr,"Casa Grande, Senapati Bapat Marg, Lower Parel, Mumbai 400013, Lower Parel, Mumbai - South Mumbai, Maharashtra",2875sqft,,5 BHK
₹2.25 Cr,"Andheri West, Mumbai - Western Mumbai, Maharashtra",740sqft,,2 BHK
₹50.0 Lac,"Vasai East, Mumbai - Mira Road and Beyond, Maharashtra",511sqft,,2 BHK
₹2.20 Cr,"kanjurmarg west, Lal Bahadur Shastri Road, Mumbai - Central Line, Maharashtra",981sqft,,3 BHK
₹6.70 Cr,"Shankar lane, Kandivali West, Mumbai - Western Mumbai, Maharashtra",1700sqft,,5 BHK
₹5.31 Cr,"Andheri East, Mumbai, Andheri East, Mumbai - Western Mumbai, Maharashtra",1864sqft,,4 BHK
₹1.85 Cr,"Mira Bhayandar Road, Mumbai, Mira Bhayandar Road, Mumbai - Central Mumbai, Maharashtra",1040sqft,,3 BHK
₹5.50 Cr,"Worli, Mumbai - South Mumbai, Maharashtra",1092sqft,,3 BHK
₹1.10 Cr,"near lnt bussines park, chandivali powai., Powai, Mumbai - Central Mumbai, Maharashtra",360sqft,,1 BHK
₹5.0 Cr,"goregoan, Goregaon West, Mumbai - Western Mumbai, Maharashtra",2000sqft,,5 BHK
₹16.0 Cr,"Mahalakshmi, Mumbai, Mahalakshmi, Mumbai - South Mumbai, Maharashtra",2259sqft,,4 BHK
₹1.54 Cr,"Ghatkopar East, Mumbai, Pant Nagar, Mumbai - Central Line, Maharashtra",671sqft,,2 BHK
₹1.30 Cr,"Powai, Mumbai., Hiranandani Gardens, Mumbai - Central Mumbai, Maharashtra",379sqft,,1 BHK
₹13.50 Cr,"Worli, Mumbai - South Mumbai, Maharashtra",2255sqft,,5 BHK
₹1.0 Cr,"Santacruz East, Mumbai - Western Mumbai, Maharashtra",385sqft,,1 BHK
₹15.0 Cr,"Lady Ratan Tower DS Road Gandhinagar Worli Mumbai Maharashtra 400018, Worli, Mumbai - South Mumbai, Maharashtra",3500sqft,,4 BHK
₹12.35 Cr,"Juhu Tara Road, Mumbai - Western Mumbai, Maharashtra",1900sqft,,5 BHK
₹1.10 Cr,"Bhandup East, Mumbai, Bhandup East, Mumbai - Central Mumbai, Maharashtra",547sqft,,2 BHK
₹2.55 Cr,"101 blossom apt, next to Bima Nagar society, opp vishal Hall, M.V.Road, Andheri east Mumbai 400069, Andheri East, Mumbai - Western Mumbai, Maharashtra",790sqft,,2 BHK
₹1.20 Cr,"Patliputra, Mumbai - North Mumbai, Maharashtra",500sqft,,2 BHK
₹10.0 Cr,"Goregaon East, Mumbai, Matunga, Mumbai - South Mumbai, Maharashtra",1722sqft,,4 BHK
₹3.0 Cr,"Manisha Building, Ghatla, Chebur, Chembur, Mumbai - Harbour Line, Maharashtra",1030sqft,,3 BHK
₹79.0 Lac,"Malad East, Mumbai - Western Mumbai, Maharashtra",385sqft,,1 BHK
₹1.35 Cr,"1801., Irani Wadi, Mumbai - North Mumbai, Maharashtra",615sqft,,2 BHK
₹2.0 Cr,"Balaji Sharan CHS 290 Bhawanji Arjun Khamji Marg Matunga Mumbai Maharashtra 400019, Matunga East, Mumbai - South Mumbai, Maharashtra",455sqft,,1 BHK
₹7.35 Cr,"Deonar farm road, chembur east., Chembur, Mumbai - Harbour Line, Maharashtra",2005sqft,,4 BHK
₹1.35 Cr,"Bay Vue Rathodi village, marve road Malad - West, Mumbai-400095, Malad West, Mumbai - Western Mumbai, Maharashtra",623sqft,,2 BHK
₹12.0 Cr,"2602 challenger tower, Thakur Village, Mumbai - North Mumbai, Maharashtra",3600sqft,,4 BHK
₹10.50 Cr,"A V N Marg, Hatiskar Wadi, Prabhadevi, Mumbai 400025, Prabhadevi, Mumbai - South Mumbai, Maharashtra",2300sqft,,5 BHK
₹1.74 Cr,"Goregaon east, Goregaon East, Mumbai - Western Mumbai, Maharashtra",655sqft,,2 BHK
₹1.70 Cr,"Kanjurmarg West, Mumbai, Kanjurmarg West, Mumbai - Central Line, Maharashtra",661sqft,,2 BHK
₹1.80 Cr,"Hiranandani, Hiranandani Gardens, Mumbai - Central Mumbai, Maharashtra",,,2 BHK
₹11.20 Cr,"Hiranandani Gardens, Powai, Mumbai - Central Mumbai, Maharashtra",1965sqft,,4 BHK
₹95.0 Lac,"Asha NagaR, 90 Fit Road, Near. W.E. Highway, Kandivali.E. Mumbai. 400101., Thakur Complex, Mumbai - North Mumbai, Maharashtra",410sqft,,1 BHK
₹99.0 Lac,"Crompton Greaves Compound, Kanjurmarg East, Mumbai - Central Mumbai, Maharashtra",368sqft,,1 BHK
₹4.15 Cr,"201., JVPD Scheme, Mumbai - Western Mumbai, Maharashtra",800sqft,,2 BHK
₹75.0 Lac,"near d mart virar west, Virar, Mumbai - Mira Road and Beyond, Maharashtra",620sqft,,2 BHK
₹1.15 Cr,"Powai, Mumbai., Hiranandani Gardens, Mumbai - Central Mumbai, Maharashtra",379sqft,,1 BHK
₹4.50 Cr,"Andheri West, Mumbai, Veera Desai Road, Mumbai, Maharashtra",1100sqft,,4 BHK
₹2.20 Cr,"Rameshwar Cooperative Housing Society Khira Nagar Santacruz West 400054, Khira Nagar, Mumbai - Western Mumbai, Maharashtra",600sqft,,1 BHK
₹1.51 Cr,"Andheri East, Mumbai, Sakinaka Junction, Mumbai - Western Mumbai, Maharashtra",665sqft,,2 BHK
₹10.70 Cr,"Island City Center Two, G D Ambekar Rd, Dadar East, Mumbai",2200sqft,,4 BHK
₹7.80 Cr,"Andheri, Western Express Hwy, Gundavali Gaothan, Andheri East, Mumbai, Maharashtra 400053, Gundavali Gaothan, Mumbai - Western Mumbai, Maharashtra",2055sqft,,4 BHK
₹29.8 Lac,"Global city virarwest, Virar West, Mumbai - Mira Road and Beyond, Maharashtra",413sqft,,1 BHK
₹4.45 Cr,"Khar West, Mumbai - Western Mumbai, Maharashtra",825sqft,,3 BHK
₹1.09 Cr,"Malad East, Mumbai - Western Mumbai, Maharashtra",520sqft,,2 BHK
₹1.59 Cr,"Jangid complex , silver park Mira Road East Mumbai",1052sqft,,3 BHK
₹1.0 Cr,"Virar West, Mumbai - Mira Road and Beyond, Maharashtra",1300sqft,,4 BHK
₹3.10 Cr,"Catholic Housing Society Ltd, Central Avenue Road, Mumbai - Harbour Line, Maharashtra",990sqft,,3 BHK
₹5.50 Cr,Ajmera I Land Bhakti Park Near Big Cinemas Bhakti Park Wadala East Mumbai 400037.,1650sqft,,3 BHK
₹5.55 Cr,"Wadala, Mumbai, Wadala, Mumbai - South Mumbai, Maharashtra",1600sqft,,3 BHK
₹93.0 Lac,"Andheri East, Mumbai",456sqft,,2 BHK
₹1.15 Cr,"vasai West, Vasai West, Mumbai - Mira Road and Beyond, Maharashtra",785sqft,,3 BHK
₹7.99 Cr,"Mumbai., Dadar West, Mumbai - South Mumbai, Maharashtra",1872sqft,,5 BHK
₹3.35 Cr,"BKC 20mins ,Lower Parel CBD20min,Upcoming Mumbai Coastal Road 5 min",640sqft,,1 BHK
₹2.75 Cr,"Balgovindas road, Matunga west, Mumbai, Matunga West, Mumbai - South Mumbai, Maharashtra",465sqft,,1 BHK
₹60.0 Lac,"Mumbai, Maharashtra",250sqft,,1 BHK
₹30.0 Cr,"Lower Parel, Mumbai - South Mumbai, Maharashtra",5500sqft,,5 BHK
₹2.35 Cr,"718, A wing, VN purav marg, Chembur, Mumbai - Harbour Line, Maharashtra",814sqft,,3 BHK
₹1.06 Cr,"Andheri West, Mumbai, Mumbai, Maharashtra",507sqft,,2 BHK
₹5.83 Cr,"23, Siddharth Nagar, Goregaon West, Goregaon West, Mumbai - Western Mumbai, Maharashtra",1816sqft,,5 BHK
₹1.83 Cr,"Charkop sec 02, kandivali west, Kandivali West, Mumbai - Western Mumbai, Maharashtra",942sqft,,3 BHK
₹2.80 Cr,"Kurla West, Mumbai, Kurla West, Mumbai - Central Mumbai, Maharashtra",998sqft,,3 BHK
₹6.0 Cr,"000., Vile Parle East, Mumbai - Western Mumbai, Maharashtra",1580sqft,,4 BHK
₹6.50 Cr,"Dongri, Mumbai - South Mumbai, Maharashtra",2200sqft,,6 BHK
₹3.92 Cr,"Kandivali East, Mumbai, Kandivali East, Mumbai - Western Mumbai, Maharashtra",1540sqft,,4 BHK
₹10.50 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",2000sqft,,4 BHK
₹5.65 Cr,"Opposite Hard Rock Cafe, Pandurang Budhkar Marg, Worli, Mumbai, Maharashtra, Worli, Mumbai - South Mumbai, Maharashtra",1092sqft,,3 BHK
₹2.05 Cr,"Jankalyan Nagar, Malad West, Malad West, Mumbai - Western Mumbai, Maharashtra",838sqft,,3 BHK
₹6.37 Cr,"Versova Marg, Mumbai - Western Mumbai, Maharashtra",2500sqft,,4 BHK
₹1.35 Cr,"Andheri East, Mumbai., Andheri East, Mumbai - Western Mumbai, Maharashtra",486sqft,,1 BHK
₹15.50 Cr,"Sarojini road, Versova, Mumbai - Western Mumbai, Maharashtra",2370sqft,,5 BHK
₹78.0 Lac,"tagore nagar, Vikhroli East, Mumbai - Central Mumbai, Maharashtra",394sqft,,1 BHK
₹22.0 Cr,"Worli Doordarshan tower, Worli, Mumbai - South Mumbai, Maharashtra",5600sqft,,5 BHK
₹2.65 Cr,"Auries sernity 55 Story tower malad west, Malad West, Mumbai - Western Mumbai, Maharashtra",875sqft,,2 BHK
₹3.20 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",1350sqft,,4 BHK
₹10.11 Cr,"Mulund West, Mumbai - Central Mumbai, Maharashtra",2400sqft,,6 BHK
₹1.10 Cr,"Laxminagar Ghatkopar East, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",485sqft,,1 BHK
₹14.0 Cr,"worli opp atria mall, Shiv Sagar Estate, Mumbai - South Mumbai, Maharashtra",1400sqft,,3 BHK
₹4.75 Cr,"N Dutta Marg, Four Bungalow, Andheri West, 4 Bunglows, Mumbai - Western Mumbai, Maharashtra",1300sqft,,3 BHK
₹3.25 Cr,"Sunrise Tiara Mishra Compound Yashwant Nagar Santacurz East Mumbai Maharashtra 400055, Vakola, Mumbai - Western Mumbai, Maharashtra",1050sqft,,3 BHK
₹3.50 Cr,"Cenced Apartments Palli Hill Bandra West Mumbai Maharashtra 400050, Bandra West, Mumbai - Western Mumbai, Maharashtra",565sqft,,1 BHK
₹19.0 Cr,"worli, Worli Sea Face, Mumbai - South Mumbai, Maharashtra",3064sqft,,4 BHK
₹2.05 Cr,"Chembur, Mumbai - Harbour Line, Maharashtra",825sqft,,3 BHK
₹1.40 Cr,"Chembur East, Deonar., Deonar, Mumbai - Harbour Line, Maharashtra",450sqft,,1 BHK
₹20.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",4236sqft,,5 BHK
₹55.0 Lac,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",450sqft,,1 BHK
₹42.5 Lac,"Siddhivinayak tower, y k nagar nx, virar west., Virar West, Mumbai - Mira Road and Beyond, Maharashtra",535sqft,,1 BHK
₹5.75 Cr,"Dadar West, Mumbai - South Mumbai, Maharashtra",1380sqft,,3 BHK
